
Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
ARMAGEDON		 Imperator	 393	[1:345:6]	 27.06.2014	 30 Min.	
Blesur		 Probezeit	 420	[2:105:8]	 04.07.2014	 Off	
luckybone		 Probezeit	 435	[1:335:4]	 08.07.2014	 Off	
blindi		 Probezeit	 443	[1:363:6]	 03.07.2014	 22 Min.	
reb0RN		 Imperator	 472	[8:129:9]	 27.06.2014	 Off	
Killsort		 Probezeit	 526	[1:82:12]	 02.07.2014	 Off	
smokingz		 Imperator	 555	[1:376:4]	 27.06.2014	 On	
g4f		 Imperator	 675	[1:272:4]	 27.06.2014	 Off	
Philanthrop		 Imperator	 687	[1:363:4]	 03.07.2014	 On	
Wrong Destiny		 Imperator	 765	[1:50:6]	 28.06.2014	 22 Min.	
Trykonosis		 Probezeit	 790	[1:324:10]	 06.07.2014	 On	
Starchild		 Imperator	 942	[1:28:7]	 27.06.2014	 Off	
KrueMelChen		 Imperator	 1142	[2:23:4]	 27.06.2014	 On	
Zylon		 Imperator	 1169	[3:113:4]	 02.07.2014	 Off	
blacklord999		 Imperator	 1187	[2:20:10]	 27.06.2014	 4t	


Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
W4R_MaChINE		 Gründer	 77	[1:116:4]	 27.06.2014	 On	
Mursana		 Imperator	 79	[1:222:6]	 27.06.2014	 On	
baal the dark		 Imperator	 83	[2:31:6]	 27.06.2014	 56 Min.	
trendsetter		 Imperator	 100	[3:114:6]	 01.07.2014	 47 Min.	
pArmEsAnEXpErtE		 Imperator	 108	[1:421:9]	 27.06.2014	 58 Min.	
SuaveTheDon		 -XO-	 196	[9:463:4]	 27.06.2014	 On	
dywk		 Imperator	 235	[8:130:12]	 27.06.2014	 34 Min.	
Steveboo		 Imperator	 255	[2:373:4]	 01.07.2014	 On	
varus		 Imperator	 325	[3:250:8]	 27.06.2014	 Off	
Gajeel		 Imperator	 347	[2:100:5]	 05.07.2014	 On	
ARMAGEDON		 Imperator	 390	[1:345:6]	 27.06.2014	 On	
Blesur		 Probezeit	 403	[2:105:8]	 04.07.2014	 On	
luckybone		 Probezeit	 419	[1:335:4]	 08.07.2014	 Off	
blindi		 Probezeit	 444	[1:363:6]	 03.07.2014	 Off	
Killsort		 Probezeit	 506	[1:82:12]	 02.07.2014	 On	
reb0RN		 Imperator	 531	[8:129:9]	 27.06.2014	 24 Min.	
smokingz		 Imperator	 535	[1:376:4]	 27.06.2014	 34 Min.	
Philanthrop		 Imperator	 681	[1:363:4]	 03.07.2014	 Off	
Wrong Destiny		 Imperator	 771	[1:50:6]	 28.06.2014	 16 Min.	
Trykonosis		 Probezeit	 772	[1:324:10]	 06.07.2014	 On	
g4f		 Imperator	 780	[1:272:4]	 27.06.2014	 1t	
Starchild		 Imperator	 1003	[1:28:7]	 27.06.2014	 1t	
KrueMelChen		 Imperator	 1108	[2:23:4]	 27.06.2014	 21 Min.	
Zylon		 Imperator	 1219	[3:113:4]	 02.07.2014	 1t	
blacklord999		 Imperator	 1240	[2:20:10]	 27.06.2014	 5t


Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
baal the dark		 Imperator	 72	[2:31:6]	 27.06.2014	 On	
W4R_MaChINE		 Gründer	 74	[1:116:4]	 27.06.2014	 Off	
Mursana		 Imperator	 77	[1:222:6]	 27.06.2014	 Off	
trendsetter		 Imperator	 91	[3:114:6]	 01.07.2014	 On	
pArmEsAnEXpErtE		 Imperator	 94	[1:421:9]	 27.06.2014	 On	
SuaveTheDon		 -XO-	 201	[9:463:4]	 27.06.2014	 Off	
Steveboo		 Imperator	 231	[2:373:4]	 01.07.2014	 On	
Gajeel		 Imperator	 348	[2:100:5]	 05.07.2014	 Off	
dywk		 Imperator	 359	[8:130:12]	 27.06.2014	 Off	
blindi		 Probezeit	 389	[1:363:6]	 03.07.2014	 On	
varus		 Imperator	 390	[3:250:8]	 27.06.2014	 Off	
Blesur		 Probezeit	 392	[2:105:8]	 04.07.2014	 Off	
ARMAGEDON		 Imperator	 406	[1:345:6]	 27.06.2014	 Off	
luckybone		 Probezeit	 462	[1:335:4]	 08.07.2014	 On	
Killsort		 Probezeit	 489	[1:82:12]	 02.07.2014	 38 Min.	
smokingz		 Imperator	 494	[1:376:4]	 27.06.2014	 Off	
reb0RN		 Imperator	 527	[8:129:9]	 27.06.2014	 On	
Philanthrop		 Imperator	 637	[1:363:4]	 03.07.2014	 32 Min.	
Wrong Destiny		 Imperator	 756	[1:50:6]	 28.06.2014	 Off	
Trykonosis		 Probezeit	 775	[1:324:10]	 06.07.2014	 Off	
g4f		 Imperator	 830	[1:272:4]	 27.06.2014	 1t	
KrueMelChen		 Imperator	 1060	[2:23:4]	 27.06.2014	 Off	
Starchild		 Imperator	 1120	[1:28:7]	 27.06.2014	 3t	
Zylon		 Imperator	 1161	[3:113:4]	 02.07.2014	 On	
blacklord999		 Imperator	 1364	[2:20:10]	 27.06.2014	 6t		


Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
W4R_MaChINE		 Gründer	 69	[1:116:4]	 27.06.2014	 40 Min.	
Mursana		 Imperator	 79	[1:222:6]	 27.06.2014	 On	
baal the dark		 Imperator	 83	[2:31:6]	 27.06.2014	 On	
pArmEsAnEXpErtE		 Imperator	 91	[1:421:9]	 27.06.2014	 On	
trendsetter		 Imperator	 94	[3:114:6]	 01.07.2014	 46 Min.	
SuaveTheDon		 -XO-	 185	[9:463:4]	 27.06.2014	 On	
Steveboo		 Imperator	 202	[2:373:4]	 01.07.2014	 On	
Gajeel		 Imperator	 354	[2:100:5]	 05.07.2014	 28 Min.	
blindi		 Probezeit	 378	[1:363:6]	 03.07.2014	 On	
dywk		 Imperator	 385	[8:130:12]	 27.06.2014	 23 Min.	
Blesur		 Probezeit	 394	[2:105:8]	 04.07.2014	 Off	
varus		 Imperator	 404	[3:250:8]	 27.06.2014	 Off	
ARMAGEDON		 Imperator	 410	[1:345:6]	 27.06.2014	 16 Min.	
luckybone		 Probezeit	 473	[1:335:4]	 08.07.2014	 On	
Killsort		 Probezeit	 477	[1:82:12]	 02.07.2014	 On	
smokingz		 Imperator	 491	[1:376:4]	 27.06.2014	 30 Min.	
reb0RN		 Imperator	 508	[8:129:9]	 27.06.2014	 41 Min.	
Philanthrop		 Imperator	 641	[1:363:4]	 03.07.2014	 16 Min.	
Trykonosis		 Probezeit	 743	[1:324:10]	 06.07.2014	 On	
Wrong Destiny		 Imperator	 759	[1:50:6]	 28.06.2014	 45 Min.	
g4f		 Imperator	 867	[1:272:4]	 27.06.2014	 Off	
KrueMelChen		 Imperator	 1057	[2:23:4]	 27.06.2014	 On	
Starchild		 Imperator	 1150	[1:28:7]	 27.06.2014	 4t	
Zylon		 Imperator	 1193	[3:113:4]	 02.07.2014	 On	
blacklord999		 Imperator	 1392	[2:20:10]	 27.06.2014	 7t	


Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
baal the dark		 Imperator	 72	[2:31:6]	 27.06.2014	 26 Min.	
W4R_MaChINE		 Gründer	 73	[1:116:4]	 27.06.2014	 24 Min.	
Mursana		 Imperator	 82	[1:222:6]	 27.06.2014	 On	
pArmEsAnEXpErtE		 Imperator	 85	[1:421:9]	 27.06.2014	 Off	
trendsetter		 Imperator	 94	[3:114:6]	 01.07.2014	 33 Min.	
Steveboo		 Imperator	 166	[2:373:4]	 01.07.2014	 On	
SuaveTheDon		 -XO-	 180	[9:463:4]	 27.06.2014	 29 Min.	
Gajeel		 Imperator	 344	[2:100:5]	 05.07.2014	 Off	
blindi		 Probezeit	 379	[1:363:6]	 03.07.2014	 On	
Blesur		 Probezeit	 390	[2:105:8]	 04.07.2014	 On	
ARMAGEDON		 Imperator	 399	[1:345:6]	 27.06.2014	 Off	
dywk		 Imperator	 409	[8:130:12]	 27.06.2014	 Off	
varus		 Imperator	 414	[3:250:8]	 27.06.2014	 On	
luckybone		 Probezeit	 450	[1:335:4]	 08.07.2014	 On	
reb0RN		 Imperator	 455	[8:129:9]	 27.06.2014	 On	
Killsort		 Probezeit	 471	[1:82:12]	 02.07.2014	 Off	
smokingz		 Imperator	 479	[1:376:4]	 27.06.2014	 On	
Philanthrop		 Imperator	 669	[1:363:4]	 03.07.2014	 On	
Trykonosis		 Probezeit	 713	[1:324:10]	 06.07.2014	 Off	
Wrong Destiny		 Imperator	 737	[1:50:6]	 28.06.2014	 15 Min.	
g4f		 Imperator	 904	[1:272:4]	 27.06.2014	 Off	
KrueMelChen		 Imperator	 1033	[2:23:4]	 27.06.2014	 On	
Zylon		 Imperator	 1187	[3:113:4]	 02.07.2014	 Off	
Starchild		 Imperator	 1198	[1:28:7]	 27.06.2014	 4t	
blacklord999		 Imperator	 1436	[2:20:10]	 27.06.2014	 8t	
